,sim_id,W01,AVE_p0,VE_p0,seed,scan_dict
0,100,0.001,3.290909090909091,3.563636363636364,2026,23032022_W01_AVEp0_VEp0_100
0,101,0.001,3.290909090909091,3.563636363636364,2027,23032022_W01_AVEp0_VEp0_101
0,102,0.001,3.290909090909091,3.6545454545454548,2022,23032022_W01_AVEp0_VEp0_102
0,103,0.001,3.290909090909091,3.6545454545454548,2023,23032022_W01_AVEp0_VEp0_103
0,104,0.001,3.290909090909091,3.6545454545454548,2024,23032022_W01_AVEp0_VEp0_104
0,105,0.001,3.290909090909091,3.6545454545454548,2025,23032022_W01_AVEp0_VEp0_105
0,106,0.001,3.290909090909091,3.6545454545454548,2026,23032022_W01_AVEp0_VEp0_106
0,107,0.001,3.290909090909091,3.6545454545454548,2027,23032022_W01_AVEp0_VEp0_107
0,108,0.001,3.290909090909091,3.7454545454545456,2022,23032022_W01_AVEp0_VEp0_108
0,109,0.001,3.290909090909091,3.7454545454545456,2023,23032022_W01_AVEp0_VEp0_109
0,110,0.001,3.290909090909091,3.7454545454545456,2024,23032022_W01_AVEp0_VEp0_110
0,111,0.001,3.290909090909091,3.7454545454545456,2025,23032022_W01_AVEp0_VEp0_111
0,112,0.001,3.290909090909091,3.7454545454545456,2026,23032022_W01_AVEp0_VEp0_112
0,113,0.001,3.290909090909091,3.7454545454545456,2027,23032022_W01_AVEp0_VEp0_113
0,114,0.001,3.290909090909091,3.8363636363636364,2022,23032022_W01_AVEp0_VEp0_114
0,115,0.001,3.290909090909091,3.8363636363636364,2023,23032022_W01_AVEp0_VEp0_115
0,116,0.001,3.290909090909091,3.8363636363636364,2024,23032022_W01_AVEp0_VEp0_116
0,117,0.001,3.290909090909091,3.8363636363636364,2025,23032022_W01_AVEp0_VEp0_117
0,118,0.001,3.290909090909091,3.8363636363636364,2026,23032022_W01_AVEp0_VEp0_118
0,119,0.001,3.290909090909091,3.8363636363636364,2027,23032022_W01_AVEp0_VEp0_119
0,120,0.001,3.290909090909091,3.9272727272727277,2022,23032022_W01_AVEp0_VEp0_120
0,121,0.001,3.290909090909091,3.9272727272727277,2023,23032022_W01_AVEp0_VEp0_121
0,122,0.001,3.290909090909091,3.9272727272727277,2024,23032022_W01_AVEp0_VEp0_122
0,123,0.001,3.290909090909091,3.9272727272727277,2025,23032022_W01_AVEp0_VEp0_123
0,124,0.001,3.290909090909091,3.9272727272727277,2026,23032022_W01_AVEp0_VEp0_124
0,125,0.001,3.290909090909091,3.9272727272727277,2027,23032022_W01_AVEp0_VEp0_125
0,126,0.001,3.290909090909091,4.0181818181818185,2022,23032022_W01_AVEp0_VEp0_126
0,127,0.001,3.290909090909091,4.0181818181818185,2023,23032022_W01_AVEp0_VEp0_127
0,128,0.001,3.290909090909091,4.0181818181818185,2024,23032022_W01_AVEp0_VEp0_128
0,129,0.001,3.290909090909091,4.0181818181818185,2025,23032022_W01_AVEp0_VEp0_129
0,130,0.001,3.290909090909091,4.0181818181818185,2026,23032022_W01_AVEp0_VEp0_130
0,131,0.001,3.290909090909091,4.0181818181818185,2027,23032022_W01_AVEp0_VEp0_131
0,132,0.001,3.290909090909091,4.109090909090909,2022,23032022_W01_AVEp0_VEp0_132
0,133,0.001,3.290909090909091,4.109090909090909,2023,23032022_W01_AVEp0_VEp0_133
0,134,0.001,3.290909090909091,4.109090909090909,2024,23032022_W01_AVEp0_VEp0_134
0,135,0.001,3.290909090909091,4.109090909090909,2025,23032022_W01_AVEp0_VEp0_135
0,136,0.001,3.290909090909091,4.109090909090909,2026,23032022_W01_AVEp0_VEp0_136
0,137,0.001,3.290909090909091,4.109090909090909,2027,23032022_W01_AVEp0_VEp0_137
0,138,0.001,3.290909090909091,4.2,2022,23032022_W01_AVEp0_VEp0_138
0,139,0.001,3.290909090909091,4.2,2023,23032022_W01_AVEp0_VEp0_139
0,140,0.001,3.290909090909091,4.2,2024,23032022_W01_AVEp0_VEp0_140
0,141,0.001,3.290909090909091,4.2,2025,23032022_W01_AVEp0_VEp0_141
0,142,0.001,3.290909090909091,4.2,2026,23032022_W01_AVEp0_VEp0_142
